SkillSpector Linear Data.

Create Date 2/15/2019
Time 18:16:35

Joelho - X pos	Joelho - Y pos	Quadril - X pos	Quadril - Y pos	C7 - X pos	C7 - Y pos	Barra - X pos	Barra - Y pos	
-0.697	16.055	34.009	10.323	84.028	1.306	9.911	-17.145	
-0.713	16.055	34.001	10.300	83.985	1.318	9.851	-17.177	
-0.729	16.055	33.993	10.282	83.947	1.331	9.797	-17.206	
-0.744	16.055	33.986	10.269	83.916	1.345	9.747	-17.230	
-0.758	16.055	33.979	10.260	83.890	1.360	9.702	-17.250	
-0.772	16.055	33.973	10.257	83.869	1.377	9.662	-17.266	
-0.785	16.055	33.967	10.259	83.854	1.395	9.627	-17.278	
-0.798	16.055	33.960	10.267	83.843	1.415	9.597	-17.288	
-0.811	16.055	33.954	10.279	83.837	1.437	9.571	-17.295	
-0.823	16.055	33.948	10.296	83.834	1.461	9.549	-17.299	
-0.834	16.055	33.941	10.316	83.835	1.489	9.532	-17.301	
-0.845	16.055	33.935	10.341	83.838	1.520	9.517	-17.302	
-0.855	16.055	33.928	10.367	83.843	1.555	9.507	-17.301	
-0.865	16.054	33.920	10.396	83.849	1.592	9.499	-17.300	
-0.874	16.054	33.912	10.425	83.855	1.633	9.493	-17.298	
-0.883	16.054	33.903	10.455	83.861	1.676	9.490	-17.296	
-0.891	16.054	33.894	10.485	83.867	1.722	9.489	-17.293	
-0.899	16.054	33.884	10.515	83.872	1.770	9.489	-17.291	
-0.906	16.054	33.874	10.545	83.876	1.820	9.490	-17.289	
-0.913	16.054	33.864	10.575	83.879	1.872	9.493	-17.287	
-0.919	16.054	33.853	10.605	83.881	1.925	9.496	-17.286	
-0.925	16.054	33.842	10.636	83.882	1.979	9.499	-17.284	
-0.930	16.054	33.831	10.667	83.882	2.034	9.503	-17.284	
-0.935	16.054	33.820	10.698	83.882	2.088	9.506	-17.283	
-0.939	16.054	33.809	10.729	83.882	2.144	9.510	-17.283	
-0.942	16.054	33.799	10.759	83.882	2.199	9.513	-17.283	
-0.945	16.054	33.790	10.788	83.882	2.254	9.516	-17.283	
-0.948	16.054	33.782	10.814	83.882	2.309	9.519	-17.283	
