SkillSpector Linear Data.

Create Date 2/15/2019
Time 18:8:47

Joelho - X pos	Joelho - Y pos	Quadril - X pos	Quadril - Y pos	C7 - X pos	C7 - Y pos	Barra - X pos	Barra - Y pos	
-1.633	16.352	33.502	10.784	85.151	2.678	10.396	-16.004	
-1.638	16.352	33.468	10.861	85.153	2.803	10.397	-15.978	
-1.643	16.352	33.437	10.934	85.156	2.928	10.398	-15.959	
-1.648	16.352	33.407	11.002	85.158	3.052	10.398	-15.946	
-1.653	16.352	33.381	11.066	85.162	3.175	10.399	-15.938	
-1.658	16.352	33.356	11.125	85.165	3.297	10.399	-15.934	
-1.662	16.352	33.334	11.182	85.170	3.418	10.399	-15.933	
-1.667	16.352	33.314	11.236	85.174	3.539	10.399	-15.934	
-1.672	16.352	33.296	11.289	85.180	3.658	10.399	-15.936	
-1.676	16.352	33.281	11.342	85.186	3.778	10.399	-15.938	
-1.681	16.352	33.267	11.394	85.194	3.896	10.398	-15.940	
-1.685	16.352	33.256	11.448	85.202	4.014	10.398	-15.942	
-1.690	16.352	33.246	11.501	85.212	4.132	10.397	-15.943	
-1.694	16.352	33.239	11.556	85.222	4.250	10.397	-15.944	
-1.698	16.352	33.233	11.610	85.233	4.367	10.396	-15.944	
-1.703	16.352	33.228	11.663	85.246	4.484	10.395	-15.943	
-1.707	16.352	33.224	11.717	85.259	4.601	10.394	-15.943	
-1.711	16.352	33.222	11.768	85.274	4.717	10.393	-15.943	
-1.715	16.352	33.221	11.818	85.289	4.833	10.393	-15.942	
-1.719	16.352	33.220	11.866	85.305	4.949	10.391	-15.942	
-1.723	16.352	33.220	11.911	85.322	5.064	10.390	-15.942	
-1.727	16.352	33.221	11.955	85.339	5.178	10.389	-15.941	
-1.731	16.352	33.222	11.997	85.358	5.292	10.388	-15.941	
-1.735	16.352	33.224	12.037	85.376	5.404	10.387	-15.941	
-1.738	16.352	33.225	12.075	85.396	5.514	10.386	-15.942	
-1.742	16.352	33.227	12.111	85.415	5.623	10.385	-15.942	
-1.746	16.352	33.229	12.144	85.435	5.730	10.384	-15.942	
-1.750	16.352	33.231	12.174	85.454	5.834	10.384	-15.942	
-1.753	16.352	33.232	12.199	85.473	5.936	10.383	-15.942	
-1.757	16.352	33.234	12.220	85.492	6.035	10.382	-15.942	
-1.760	16.352	33.235	12.238	85.510	6.131	10.382	-15.942	
-1.763	16.352	33.237	12.253	85.527	6.225	10.382	-15.941	
-1.767	16.352	33.238	12.266	85.542	6.316	10.382	-15.941	
-1.770	16.352	33.238	12.281	85.557	6.404	10.382	-15.941	
-1.773	16.352	33.239	12.299	85.570	6.490	10.382	-15.941	
-1.776	16.352	33.240	12.323	85.582	6.573	10.383	-15.941	
-1.780	16.352	33.240	12.352	85.592	6.655	10.384	-15.941	
-1.783	16.351	33.240	12.390	85.600	6.735	10.385	-15.941	
-1.786	16.351	33.240	12.436	85.607	6.814	10.387	-15.942	
-1.788	16.351	33.240	12.490	85.612	6.892	10.389	-15.942	
-1.791	16.351	33.239	12.550	85.616	6.970	10.391	-15.944	
-1.794	16.351	33.239	12.614	85.618	7.049	10.394	-15.945	
